state,year,quarter,insurance_type,count,amount
Rajasthan,2022,2,Insurance,24333,33748931.0
Rajasthan,2022,3,Insurance,33975,45565544.0
Rajasthan,2022,4,Insurance,40926,60792838.0
Rajasthan,2023,1,Insurance,34415,61441050.0
Rajasthan,2023,2,Insurance,37170,61301449.0
Rajasthan,2023,3,Insurance,39960,64328784.0
Rajasthan,2023,4,Insurance,49741,94701652.0
Rajasthan,2024,1,Insurance,59127,102926410.0
Rajasthan,2024,2,Insurance,55241,95504657.0
Rajasthan,2024,3,Insurance,64533,108827800.0
Rajasthan,2024,4,Insurance,73530,127930986.0
Sikkim,2020,2,Insurance,21,4789.0
Sikkim,2020,3,Insurance,94,28000.0
Sikkim,2020,4,Insurance,67,70214.0
Sikkim,2021,1,Insurance,122,111777.0
Sikkim,2021,2,Insurance,93,122064.0
Sikkim,2021,3,Insurance,106,140552.0
Sikkim,2021,4,Insurance,195,503532.0
Sikkim,2022,1,Insurance,239,685987.0
Sikkim,2022,2,Insurance,160,383709.0
Sikkim,2022,3,Insurance,243,474940.0
Sikkim,2022,4,Insurance,306,667214.0
Sikkim,2023,1,Insurance,260,688605.0
Sikkim,2023,2,Insurance,270,628191.0
Sikkim,2023,3,Insurance,251,698251.0
Sikkim,2023,4,Insurance,324,793745.0
Sikkim,2024,1,Insurance,400,880182.0
Sikkim,2024,2,Insurance,685,1590554.0
Sikkim,2024,3,Insurance,461,1029398.0
Sikkim,2024,4,Insurance,599,1381680.0
Tamil Nadu,2020,2,Insurance,5473,1075552.0
Tamil Nadu,2020,3,Insurance,8026,2257373.0
Tamil Nadu,2020,4,Insurance,10290,8993575.0
Tamil Nadu,2021,1,Insurance,14406,11180849.0
Tamil Nadu,2021,2,Insurance,17682,16444344.0
Tamil Nadu,2021,3,Insurance,23107,23402918.0
Tamil Nadu,2021,4,Insurance,33037,42184290.0
Tamil Nadu,2022,1,Insurance,47621,64969045.0
Tamil Nadu,2022,2,Insurance,46714,61835120.0
Tamil Nadu,2022,3,Insurance,64356,79747520.0
Tamil Nadu,2022,4,Insurance,125491,146457790.0
Tamil Nadu,2023,1,Insurance,90690,116710222.0
Tamil Nadu,2023,2,Insurance,79698,105328191.0
Tamil Nadu,2023,3,Insurance,91069,114625593.0
Tamil Nadu,2023,4,Insurance,104871,139433796.0
Tamil Nadu,2024,1,Insurance,111521,148976175.0
Tamil Nadu,2024,2,Insurance,97348,135972378.0
Tamil Nadu,2024,3,Insurance,116867,162128271.0
Tamil Nadu,2024,4,Insurance,127002,173784251.0
Telangana,2020,2,Insurance,19003,3419453.0
Telangana,2020,3,Insurance,34395,8406543.0
Telangana,2020,4,Insurance,20961,11339099.0
Telangana,2021,1,Insurance,28298,14810947.0
Telangana,2021,2,Insurance,28870,20935651.0
Telangana,2021,3,Insurance,27080,20925217.0
Telangana,2021,4,Insurance,34848,38845492.0
Telangana,2022,1,Insurance,36325,51942016.0
Telangana,2022,2,Insurance,45600,58056956.0
Telangana,2022,3,Insurance,51465,64798126.0
Telangana,2022,4,Insurance,64655,88544127.0
Telangana,2023,1,Insurance,54508,82678207.0
Telangana,2023,2,Insurance,55118,79238968.0
Telangana,2023,3,Insurance,61523,84397465.0
Telangana,2023,4,Insurance,63993,105605522.0
Telangana,2024,1,Insurance,67388,105607539.0
Telangana,2024,2,Insurance,56941,96037304.0
Telangana,2024,3,Insurance,64873,110715264.0
Telangana,2024,4,Insurance,78498,124755619.0
Tripura,2020,2,Insurance,88,22054.0
Tripura,2020,3,Insurance,249,61642.0
Tripura,2020,4,Insurance,244,149765.0
Tripura,2021,1,Insurance,360,191531.0
Tripura,2021,2,Insurance,381,409934.0
Tripura,2021,3,Insurance,494,649961.0
Tripura,2021,4,Insurance,702,1022508.0
Tripura,2022,1,Insurance,907,1493401.0
Tripura,2022,2,Insurance,1021,1509105.0
Tripura,2022,3,Insurance,1590,2105984.0
Tripura,2022,4,Insurance,1508,2112534.0
Tripura,2023,1,Insurance,1642,2404958.0
Tripura,2023,2,Insurance,1563,2163813.0
Tripura,2023,3,Insurance,2071,2899393.0
Tripura,2023,4,Insurance,2237,3169741.0
Tripura,2024,1,Insurance,2637,3417568.0
Tripura,2024,2,Insurance,2188,2869489.0
Tripura,2024,3,Insurance,2516,3323343.0
Tripura,2024,4,Insurance,2794,3765732.0
Uttar Pradesh,2020,2,Insurance,9884,1912266.0
Uttar Pradesh,2020,3,Insurance,18131,4436969.0
Uttar Pradesh,2020,4,Insurance,17470,14180417.0
Uttar Pradesh,2021,1,Insurance,24103,18027573.0
Uttar Pradesh,2021,2,Insurance,25952,25137571.0
Uttar Pradesh,2021,3,Insurance,32799,32641118.0
Uttar Pradesh,2021,4,Insurance,44132,59654951.0
Uttar Pradesh,2022,1,Insurance,45996,73014969.0
Uttar Pradesh,2022,2,Insurance,55133,77434953.0
Uttar Pradesh,2022,3,Insurance,64514,87703512.0
Uttar Pradesh,2022,4,Insurance,77022,116755813.0
Uttar Pradesh,2023,1,Insurance,73080,127110494.0
Uttar Pradesh,2023,2,Insurance,74194,122522457.0
Uttar Pradesh,2023,3,Insurance,78940,121483170.0
Uttar Pradesh,2023,4,Insurance,92125,165509877.0
Uttar Pradesh,2024,1,Insurance,103701,176442664.0
Uttar Pradesh,2024,2,Insurance,92458,159894258.0
Uttar Pradesh,2024,3,Insurance,92930,157303596.0
Uttar Pradesh,2024,4,Insurance,116589,199179867.0
Uttarakhand,2020,2,Insurance,660,134899.0
Uttarakhand,2020,3,Insurance,1403,418543.0
Uttarakhand,2020,4,Insurance,1756,1961891.0
Uttarakhand,2021,1,Insurance,2607,2719327.0
Uttarakhand,2021,2,Insurance,2742,3265717.0
Uttarakhand,2021,3,Insurance,4111,4646571.0
Uttarakhand,2021,4,Insurance,5529,7849020.0
Uttarakhand,2022,1,Insurance,5339,8824948.0
Uttarakhand,2022,2,Insurance,5773,9168313.0
Uttarakhand,2022,3,Insurance,6784,10070172.0
Uttarakhand,2022,4,Insurance,8750,13817747.0
Uttarakhand,2023,1,Insurance,7552,13599026.0
Uttarakhand,2023,2,Insurance,8051,14034915.0
Uttarakhand,2023,3,Insurance,7856,12636749.0
Uttarakhand,2023,4,Insurance,10040,19045152.0
Uttarakhand,2024,1,Insurance,11533,19531483.0
Uttarakhand,2024,2,Insurance,10311,17754447.0
Uttarakhand,2024,3,Insurance,10487,17860144.0
Uttarakhand,2024,4,Insurance,13090,23367549.0
West Bengal,2020,2,Insurance,7619,1432764.0
West Bengal,2020,3,Insurance,12596,2878482.0
West Bengal,2020,4,Insurance,10233,7510455.0
West Bengal,2021,1,Insurance,15488,11172042.0
West Bengal,2021,2,Insurance,15200,12396029.0
West Bengal,2021,3,Insurance,24839,21424337.0
West Bengal,2021,4,Insurance,26320,31282871.0
West Bengal,2022,1,Insurance,38779,51160527.0
West Bengal,2022,2,Insurance,33542,41737021.0
West Bengal,2022,3,Insurance,47853,59092307.0
West Bengal,2022,4,Insurance,54277,70466433.0
West Bengal,2023,1,Insurance,56833,77461732.0
West Bengal,2023,2,Insurance,49792,65204280.0
West Bengal,2023,3,Insurance,58131,76359312.0
West Bengal,2023,4,Insurance,72712,100365562.0
West Bengal,2024,1,Insurance,79576,104987909.0
West Bengal,2024,2,Insurance,67048,89476633.0
West Bengal,2024,3,Insurance,77158,107451766.0
West Bengal,2024,4,Insurance,91719,120602777.0
India,2020,2,Insurance,185348,33732166.0
India,2020,3,Insurance,354284,89495076.0
India,2020,4,Insurance,248626,170979933.0
India,2021,1,Insurance,318119,206307024.0
India,2021,2,Insurance,363989,295066678.0
India,2021,3,Insurance,374867,342403352.0
India,2021,4,Insurance,526327,655431877.0
India,2022,1,Insurance,617606,887447241.0
India,2022,2,Insurance,630758,857034846.0
India,2022,3,Insurance,806491,1054717869.0
India,2022,4,Insurance,1035364,1439762739.0
India,2023,1,Insurance,923173,1408801224.0
India,2023,2,Insurance,893850,1347399873.0
India,2023,3,Insurance,1010211,1445234680.0
India,2023,4,Insurance,1159063,1855299766.0
India,2024,1,Insurance,1273789,1931955654.0
India,2024,2,Insurance,1105041,1759627894.0
India,2024,3,Insurance,1213629,1941265641.0
India,2024,4,Insurance,1475429,2293956286.0
